      #wys\psi      +0.00000      +0.00001      +0.00001      +1.00000      +2.00000      +3.00000      +5.00000     +10.00000     +90.00000    +180.00000
         0.401        99.974        99.882        99.763        -0.405        -2.949      -170.631         6.294         4.400         4.006         4.003
         0.451        99.977        99.897        99.792        -0.439        -3.287      -190.890         7.054         4.935         4.494         4.491
         0.501        99.980        99.908        99.816        -0.471        -3.618      -210.931         7.809         5.468         4.981         4.977
         0.551        99.982        99.918        99.835        -0.499        -3.943      -230.754         8.559         5.998         5.465         5.461
         0.601        99.984        99.926        99.851        -0.524        -4.261      -250.363         9.304         6.525         5.946         5.942
         0.651        99.985        99.932        99.864        -0.545        -4.573      -269.758        10.044         7.049         6.425         6.421
         0.701        99.986        99.938        99.875        -0.564        -4.878      -288.941        10.778         7.570         6.903         6.898
         0.751        99.987        99.943        99.885        -0.579        -5.178      -307.914        11.508         8.089         7.377         7.372
         0.801        99.988        99.947        99.894        -0.591        -5.471      -326.677        12.233         8.605         7.850         7.844
         0.851        99.989        99.951        99.901        -0.599        -5.758      -345.234        12.952         9.118         8.320         8.314
         0.901        99.990        99.954        99.908        -0.605        -6.039      -363.585        13.667         9.629         8.788         8.782
         0.951        99.991        99.957        99.914        -0.608        -6.314      -381.732        14.376        10.136         9.254         9.247
         1.001        99.991        99.960        99.919        -0.607        -6.584      -399.677        15.081        10.641         9.717         9.711
         2.001        99.996        99.984        99.968         0.000       -10.791      -718.342        28.194        20.201        18.537        18.525
         3.001        99.998        99.991        99.982         1.605       -13.010      -967.992        39.593        28.803        26.556        26.541
         4.001        99.999        99.994        99.989         4.020       -13.568     -1158.637        49.486        36.546        33.852        33.833
         5.001        99.999        99.996        99.993         7.086       -12.745     -1298.982        58.059        43.520        40.493        40.471
         6.001        99.999        99.997        99.995        10.667       -10.786     -1396.583        65.472        49.805        46.541        46.519
         7.001       100.000        99.998        99.996        14.647        -7.898     -1457.993        71.869        55.471        52.055        52.031
         8.001       100.000        99.999        99.997        18.926        -4.259     -1488.884        77.375        60.582        57.083        57.059
         9.001       100.000        99.999        99.998        23.422        -0.021     -1494.159        82.101        65.196        61.673        61.648
        10.001       100.000        99.999        99.998        28.065         4.685     -1478.050        86.144        69.363        65.866        65.841
        11.001       100.000        99.999        99.999        32.794         9.747     -1444.220        89.589        73.128        69.697        69.673
        12.001       100.000       100.000        99.999        37.490        14.995     -1396.543        92.469        76.484        73.151        73.127
        13.001       100.000       100.000        99.999        42.046        20.267     -1338.898        94.827        79.430        76.219        76.197
        14.001       100.000       100.000        99.999        46.430        25.487     -1274.146        96.744        82.016        78.944        78.922
        15.001       100.000       100.000       100.000        50.619        30.599     -1204.612        98.287        84.285        81.363        81.343
        16.001       100.000       100.000       100.000        54.600        35.563     -1132.190        99.518        86.276        83.512        83.493
        17.001       100.000       100.000       100.000        58.364        40.345     -1058.409       100.487        88.022        85.420        85.402
        18.001       100.000       100.000       100.000        61.907        44.923      -984.491       101.236        89.553        87.114        87.097
        19.001       100.000       100.000       100.000        65.229        49.283      -911.402       101.803        90.896        88.618        88.602
        20.001       100.000       100.000       100.000        68.334        53.414      -839.892       102.220        92.074        89.954        89.939
        21.001       100.000       100.000       100.000        71.219        57.303      -770.713       102.512        93.103        91.138        91.124
        22.001       100.000       100.000       100.000        73.888        60.944      -704.364       102.702        94.002        92.184        92.171
        23.001       100.000       100.000       100.000        76.350        64.342      -641.150       102.810        94.787        93.109        93.097
        24.001       100.000       100.000       100.000        78.616        67.502      -581.249       102.852        95.471        93.927        93.916
        25.001       100.000       100.000       100.000        80.695        70.434      -524.749       102.842        96.067        94.650        94.640
