        #psi         z0.         z1.        z10.       z100.      z1000.     z10000.        z-1.       z-10.      z-100.     z-1000.    z-10000.
    4.59E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    4.79E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    5.00E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    5.21E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    5.44E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    5.67E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    5.92E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    6.17E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    6.44E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    6.72E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    7.01E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    7.31E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    7.63E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    7.96E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    8.30E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    8.66E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    9.04E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    9.43E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
    9.84E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   10.26E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
