      Infinity      0.000100      0.001000      0.010000      0.100000      1.000000
      0.000010  -4909.579378      7.941946     82.061447     98.237013     99.861193
      0.000050  -4886.213379      0.269953     29.184574     91.166113     99.271165
      0.000100  -4870.411792      0.067574      7.985008     82.436917     98.529827
      0.000500  -4767.170409      0.002761      0.280149     29.864578     92.482116
      0.001000  -4663.350876      0.000708      0.071357      8.335348     84.775919
      0.002500  -4415.611750      0.000123      0.012081      1.229875     62.420725
      0.005000  -4098.705805      0.000036      0.003288      0.326282     34.030761
      0.007500  -3843.850257      0.000020      0.001586      0.154479     18.313209
      0.010000  -3627.403397      0.000014      0.000968      0.092224     10.640533
      0.015000  -3269.964421      0.000010      0.000509      0.045765      4.842352
      0.020000  -2980.327353      0.000009      0.000342      0.028520      2.890245
      0.025000  -2737.256910      0.000008      0.000262      0.020125      1.988543
      0.030000  -2528.638345      0.000009      0.000220      0.015360      1.486643
      0.040000  -2186.209753      0.000009      0.000179      0.010377      0.964158
      0.050000  -1914.935220      0.000010      0.000165      0.007943      0.705297
      0.060000  -1693.895987      0.000012      0.000162      0.006582      0.555532
      0.070000  -1510.182818      0.000013      0.000165      0.005763      0.459978
      0.080000  -1355.202916      0.000014      0.000171      0.005252      0.394791
      0.090000  -1222.922639      0.000016      0.000180      0.004932      0.348124
      0.100000  -1108.933839      0.000018      0.000191      0.004741      0.313497
      0.110000  -1009.916484      0.000019      0.000203      0.004640      0.287099
      0.120000   -923.309615      0.000021      0.000217      0.004608      0.266552
      0.130000   -847.099597      0.000023      0.000232      0.004627      0.250308
      0.140000   -779.678140      0.000025      0.000248      0.004689      0.237316
      0.150000   -719.743825      0.000028      0.000265      0.004786      0.226842
      0.160000   -666.231817      0.000030      0.000283      0.004913      0.218359
      0.175000   -596.122472      0.000033      0.000312      0.005151      0.208547
      0.180000   -575.103134      0.000035      0.000323      0.005242      0.205912
      0.190000   -536.138838      0.000037      0.000344      0.005440      0.201437
