     0        0.122930953       -0.000031392
  1000       11.834509692       11.272934413
  2000       22.450451906       21.495235701
  3000       32.050955950       30.743319423
  4000       40.712058103       39.089709639
  5000       48.505755691       46.603120180
  6000       55.500129444       53.348566801
  7000       61.759465081       59.387478807
  8000       67.344374109       64.777810130
  9000       72.311913804       69.574149847
 10000       76.715702798       73.827832121
 11000       80.603943076       77.587045549
 12000       83.975276450       80.896941890
 13000       86.842443772       83.799744163
 14000       89.266855152       86.334854088
 15000       91.305579225       88.538958858
 16000       93.009880032       90.446137201
 17000       94.425637388       92.087964728
 18000       95.593752031       93.493618533
 19000       96.550533204       94.689981008
 20000       97.328068823       95.701742869
 21000       97.952969240       96.551505334
 22000       98.449881591       97.259881446
 23000       98.840873968       97.845596488
 24000       99.145122379       98.325587461
 25000       99.379024431       98.715101588
 26000       99.556463348       99.027793791
 27000       99.689093499       99.275823103
 28000       99.786609066       99.469947966
 29000       99.856992187       99.619620343
 30000       99.906741043       99.733078613
 31000       99.941079415       99.817439144
 32000       99.964150394       99.878786507
 33000       99.979088871       99.922262219
 34000       99.988387953       99.952151937
 35000       99.993920868       99.971970988
 36000       99.997039318       99.984548114
 37000       99.998683247       99.992107294
 38000       99.999479337       99.996347460
 39000       99.999824252       99.998519911
 40000       99.999952603       99.999503170
 41000       99.999990934       99.999874957
 42000       99.999999041       99.999980845
 43000       99.999999972       99.999998993
 44000      100.000000000       99.999999999
 45000      100.000000000                NaN
 46000      100.000000000                NaN
 47000      100.000000000                NaN
 48000      100.000000000                NaN
 49000      100.000000000                NaN
 50000      100.000000000                NaN
