            Infinity          0.00000000          0.00100000          0.01000000          0.10000000          1.00000000         10.00000000
           0.0044444       -4162.4548789       -4162.0450358       -4157.4518553       -4025.1179679       -1175.7532378         491.9179193 
           0.0047222       -4130.1923383       -4129.7869716       -4125.3370440       -4004.0266313       -1246.0532689         511.4858113 
           0.0050000       -4098.7058204       -4098.3046388       -4093.9788589       -3982.0019930       -1313.6295920         530.4012543 
           0.0052778       -4067.9483917       -4067.5510725       -4063.3338118       -3959.3328472       -1378.4170758         548.6992294 
           0.0055556       -4037.8780118       -4037.4844338       -4033.3632444       -3936.2349160       -1440.3800842         566.4111302 
           0.0058333       -4008.4568242       -4008.0667462       -4004.0312742       -3912.8705602       -1499.5083584         583.5653062 
           0.0061111       -3979.6508122       -3979.2640903       -3975.3058101       -3889.3629882       -1555.8133334         600.1875100 
           0.0063889       -3951.4287900       -3951.0453506       -3947.1570654       -3865.8060412       -1609.3247354         616.3012296 
           0.0066667       -3923.7626033       -3923.3822764       -3919.5580027       -3842.2717595       -1660.0875296         631.9280251 
           0.0069444       -3896.6263144       -3896.2490436       -3892.4836304       -3818.8154659       -1708.1591779         647.0877391 
           0.0072222       -3869.9962236       -3869.6218693       -3865.9108088       -3795.4795510       -1753.6072143         661.7987180 
           0.0075000       -3843.8502722       -3843.4787889       -3839.8183013       -3772.2966563       -1796.5070791         676.0779816 
           0.0077778       -3818.1682980       -3817.7995687       -3814.1863224       -3749.2917246       -1836.9402054         689.9413731 
           0.0080556       -3792.9313826       -3792.5653696       -3788.9964114       -3726.4835814       -1874.9924269         703.4036752 
           0.0083333       -3768.1221388       -3767.7587418       -3764.2315006       -3703.8864318       -1910.7525299         716.4787346 
           0.0086111       -3743.7241976       -3743.3633560       -3739.8755524       -3681.5107110       -1944.3110233         729.1795375 
           0.0088889       -3719.7223311       -3719.3639879       -3715.9135905       -3659.3638942       -1975.7591766         741.5183086 
           0.0091667       -3696.1023318       -3695.7464336       -3692.3315978       -3637.4511288       -2005.1880979         753.5065688 
           0.0094444       -3672.8507674       -3672.4972639       -3669.1163561       -3615.7756129       -2032.6880733         765.1551981 
           0.0097222       -3649.9550663       -3649.6039095       -3646.2554756       -3594.3391266       -2058.3479660         776.4745006 
           0.0100000       -3627.4034113       -3627.0545564       -3623.7372336       -3573.1422306       -2082.2547582         787.4742471 
           0.0105556       -3583.2881484       -3582.9437883       -3579.6850963       -3531.4648933       -2125.1454423         808.5517268 
           0.0111111       -3540.4228090       -3540.0827501       -3536.8785945       -3490.7323271       -2162.0065483         828.4566524 
           0.0116667       -3498.7335728       -3498.3976900       -3495.2445779       -3450.9254540       -2193.4388222         847.2518266 
           0.0122222       -3458.1539172       -3457.8220780       -3454.7170088       -3412.0204806       -2219.9949685         864.9947020 
           0.0127778       -3418.6235452       -3418.2956266       -3415.2359947       -3373.9909368       -2242.1795342         881.7380844 
           0.0133333       -3380.0875559       -3379.7634320       -3376.7469523       -3336.8089826       -2260.4503797         897.5306993 
           0.0138889       -3342.4957590       -3342.1753348       -3339.1999859       -3300.4462712       -2275.2211187         912.4176817 
           0.0144444       -3305.8021674       -3305.4853324       -3302.5493207       -3264.8746095       -2286.8641130         926.4409852 
           0.0150000       -3269.9644341       -3269.6510947       -3266.7527901       -3230.0662962       -2295.7137239         939.6397282 
           0.0155556       -3234.9434932       -3234.6335609       -3231.7715065       -3195.9943894       -2302.0696465         952.0504868 
           0.0161111       -3200.7031620       -3200.3965601       -3197.5694067       -3162.6328170       -2306.2001273         963.7075505 
           0.0166667       -3167.2099016       -3166.9065352       -3164.1130853       -3129.9565496       -2308.3450721         974.6431471 
           0.0172222       -3134.4324685       -3134.1322689       -3131.3713862       -3097.9415324       -2308.7189235         984.8876262 
           0.0177778       -3102.3417670       -3102.0446615       -3099.3153162       -3066.5647779       -2307.5133366         994.4696378 
           0.0183333       -3070.9105918       -3070.6165111       -3067.9177358       -3035.8043182       -2304.8995791        1003.4162731 
           0.0188889       -3040.1134848       -3039.8223570       -3037.1532624       -3005.6391925       -2301.0307565        1011.7531953 
           0.0194444       -3009.9265514       -3009.6383185       -3006.9980679       -2976.0493881       -2296.0437606        1019.5047589 
           0.0200000       -2980.3273652       -2980.0419612       -2977.4297703       -2947.0158585       -2290.0610667        1026.6941088 
           0.0205556       -2951.2947899       -2951.0121566       -2948.4272925       -2918.5204107       -2283.1922892        1033.3432725 
           0.0211111       -2922.8089247       -2922.5290063       -2919.9707648       -2890.5457172       -2275.5356114        1039.4732442 
           0.0216667       -2894.8509693       -2894.5737117       -2892.0414444       -2863.0752486       -2267.1790260        1045.1040587 
           0.0222222       -2867.4031549       -2867.1285099       -2864.6215865       -2836.0932366       -2258.2014489        1050.2548535 
           0.0227778       -2840.4486681       -2840.1765780       -2837.6944153       -2809.5846364       -2248.6737097        1054.9439340 
