                 psi              US1976            tropical  subtropical_summer  subtropical_winter    subarctic_summer    subarctic_winter
            20.00000             3.20821             3.09460             3.10190             3.28485             3.16003             3.38455
            25.00000             3.23963             3.12539             3.13242             3.31680             3.19076             3.41725
            30.00000             3.26311             3.14831             3.15520             3.34072             3.21377             3.44178
            40.00000             3.30457             3.18857             3.19536             3.38305             3.25448             3.48527
            50.00000             3.34862             3.23119             3.23799             3.42809             3.29781             3.53162
            60.00000             3.39957             3.28043             3.28728             3.48022             3.34796             3.58530
            70.00000             3.45931             3.33811             3.34506             3.54136             3.40677             3.64826
            80.00000             3.52907             3.40545             3.41252             3.61276             3.47546             3.72180
            90.00000             3.60994             3.48350             3.49072             3.69554             3.55509             3.80707
           120.00000             3.93150             3.79384             3.80168             4.02471             3.87176             4.14617
           150.00000             4.40677             4.25248             4.26126             4.51125             4.33980             4.64738
           180.00000             5.10815             4.92931             4.93948             5.22925             5.03052             5.38704
