        #psi         h0.         h1.        h10.       h100.      h1000.     h10000.        h-1.       h-10.      h-100.     h-1000.    h-10000.
    4.22E-06    3.19E+00   14.46E+06  193.98E+03    1.95E+03   19.46E+00  194.61E-03  -14.46E+06 -193.98E+03   -1.95E+03  -19.46E+00 -194.61E-03
    4.40E-06    3.18E+00   14.53E+06  202.27E+03    2.03E+03   20.30E+00  203.03E-03  -14.53E+06 -202.27E+03   -2.03E+03  -20.30E+00 -203.03E-03
    4.59E-06    3.17E+00   14.88E+06  210.97E+03    2.12E+03   21.18E+00  211.81E-03  -14.88E+06 -210.97E+03   -2.12E+03  -21.18E+00 -211.81E-03
    4.79E-06    3.31E+00   15.24E+06  220.04E+03    2.21E+03   22.10E+00  220.97E-03  -15.24E+06 -220.04E+03   -2.21E+03  -22.10E+00 -220.97E-03
    5.00E-06    3.20E+00   15.33E+06  229.45E+03    2.31E+03   23.05E+00  230.52E-03  -15.33E+06 -229.45E+03   -2.31E+03  -23.05E+00 -230.52E-03
    5.21E-06    3.34E+00   15.71E+06  239.31E+03    2.40E+03   24.05E+00  240.49E-03  -15.71E+06 -239.31E+03   -2.40E+03  -24.05E+00 -240.49E-03
    5.44E-06    3.15E+00   15.56E+06  249.49E+03    2.51E+03   25.09E+00  250.89E-03  -15.56E+06 -249.49E+03   -2.51E+03  -25.09E+00 -250.89E-03
    5.67E-06    3.29E+00   15.96E+06  260.22E+03    2.62E+03   26.17E+00  261.74E-03  -15.96E+06 -260.22E+03   -2.62E+03  -26.17E+00 -261.74E-03
    5.92E-06    3.16E+00   15.84E+06  271.28E+03    2.73E+03   27.31E+00  273.06E-03  -15.84E+06 -271.28E+03   -2.73E+03  -27.31E+00 -273.06E-03
    6.17E-06    3.22E+00   16.00E+06  282.88E+03    2.85E+03   28.49E+00  284.87E-03  -16.00E+06 -282.88E+03   -2.85E+03  -28.49E+00 -284.87E-03
    6.44E-06    3.21E+00   15.93E+06  294.90E+03    2.97E+03   29.72E+00  297.19E-03  -15.93E+06 -294.90E+03   -2.97E+03  -29.72E+00 -297.19E-03
    6.72E-06    3.22E+00   15.87E+06  307.44E+03    3.10E+03   31.00E+00  310.04E-03  -15.87E+06 -307.44E+03   -3.10E+03  -31.00E+00 -310.04E-03
    7.01E-06    3.23E+00   15.84E+06  320.51E+03    3.23E+03   32.34E+00  323.45E-03  -15.84E+06 -320.51E+03   -3.23E+03  -32.34E+00 -323.45E-03
    7.31E-06    3.25E+00   15.83E+06  334.14E+03    3.37E+03   33.74E+00  337.43E-03  -15.83E+06 -334.14E+03   -3.37E+03  -33.74E+00 -337.43E-03
    7.63E-06    3.28E+00   15.62E+06  348.26E+03    3.52E+03   35.20E+00  352.03E-03  -15.62E+06 -348.26E+03   -3.52E+03  -35.20E+00 -352.03E-03
    7.96E-06    3.27E+00   15.45E+06  362.99E+03    3.67E+03   36.72E+00  367.25E-03  -15.45E+06 -362.99E+03   -3.67E+03  -36.72E+00 -367.25E-03
    8.30E-06    3.22E+00   15.11E+06  378.24E+03    3.83E+03   38.31E+00  383.13E-03  -15.11E+06 -378.24E+03   -3.83E+03  -38.31E+00 -383.13E-03
    8.66E-06    3.28E+00   15.00E+06  394.23E+03    4.00E+03   39.97E+00  399.70E-03  -15.00E+06 -394.23E+03   -4.00E+03  -39.97E+00 -399.70E-03
    9.04E-06    3.23E+00   14.57E+06  410.71E+03    4.17E+03   41.70E+00  416.98E-03  -14.57E+06 -410.71E+03   -4.17E+03  -41.70E+00 -416.98E-03
    9.43E-06    3.29E+00   14.36E+06  427.97E+03    4.35E+03   43.50E+00  435.02E-03  -14.36E+06 -427.97E+03   -4.35E+03  -43.50E+00 -435.02E-03
    9.84E-06    3.23E+00   13.88E+06  445.76E+03    4.54E+03   45.38E+00  453.83E-03  -13.88E+06 -445.76E+03   -4.54E+03  -45.38E+00 -453.83E-03
   10.26E-06    3.25E+00   13.60E+06  464.39E+03    4.73E+03   47.35E+00  473.45E-03  -13.60E+06 -464.39E+03   -4.73E+03  -47.35E+00 -473.45E-03
   10.71E-06    3.23E+00   13.10E+06  483.58E+03    4.94E+03   49.39E+00  493.93E-03  -13.10E+06 -483.58E+03   -4.94E+03  -49.39E+00 -493.93E-03
   11.17E-06    3.24E+00   12.68E+06  503.56E+03    5.15E+03   51.53E+00  515.29E-03  -12.68E+06 -503.56E+03   -5.15E+03  -51.53E+00 -515.29E-03
   11.65E-06    3.27E+00   12.31E+06  524.36E+03    5.37E+03   53.76E+00  537.57E-03  -12.31E+06 -524.36E+03   -5.37E+03  -53.76E+00 -537.57E-03
   12.16E-06    3.25E+00   11.79E+06  545.78E+03    5.61E+03   56.08E+00  560.82E-03  -11.79E+06 -545.78E+03   -5.61E+03  -56.08E+00 -560.82E-03
   12.68E-06    3.27E+00   11.35E+06  568.08E+03    5.85E+03   58.51E+00  585.07E-03  -11.35E+06 -568.07E+03   -5.85E+03  -58.51E+00 -585.07E-03
   13.23E-06    3.27E+00   10.89E+06  591.15E+03    6.10E+03   61.04E+00  610.37E-03  -10.89E+06 -591.15E+03   -6.10E+03  -61.04E+00 -610.37E-03
   13.80E-06    3.24E+00   10.34E+06  614.87E+03    6.37E+03   63.68E+00  636.76E-03  -10.34E+06 -614.87E+03   -6.37E+03  -63.68E+00 -636.76E-03
   14.40E-06    3.26E+00    9.88E+06  639.56E+03    6.64E+03   66.43E+00  664.30E-03   -9.88E+06 -639.56E+03   -6.64E+03  -66.43E+00 -664.30E-03
   15.02E-06    3.24E+00    9.37E+06  664.94E+03    6.93E+03   69.30E+00  693.03E-03   -9.37E+06 -664.94E+03   -6.93E+03  -69.30E+00 -693.03E-03
   15.67E-06    3.27E+00    8.93E+06  691.32E+03    7.23E+03   72.30E+00  723.00E-03   -8.93E+06 -691.32E+03   -7.23E+03  -72.30E+00 -723.00E-03
   16.35E-06    3.25E+00    8.42E+06  718.28E+03    7.54E+03   75.43E+00  754.26E-03   -8.42E+06 -718.28E+03   -7.54E+03  -75.43E+00 -754.26E-03
