           0  -0.0000000000000000       -0.0000000000000000     
           1  -4.4880497230556905E-002  -2.5632051264112263E-004
           2  -8.4592920649199779E-002  -5.1264102528224525E-004
           3 -0.11940547413785502       -7.6896153792336782E-004
           4 -0.14971692105364595       -1.0252820505644905E-003
           5 -0.17600184785423914       -1.2816025632056130E-003
           6 -0.19875894815890477       -1.5379230758467356E-003
           7 -0.21847163742149894       -1.7942435884878585E-003
           8 -0.23558352695795717       -2.0505641011289810E-003
           9 -0.25048672096684643       -2.3068846137701037E-003
          10 -0.26351915541971210       -2.5632051264112259E-003
          11 -0.27496733368513782       -2.8195256390523486E-003
          12 -0.28507171997312408       -3.0758461516934713E-003
          13 -0.29403303022079980       -3.3321666643345944E-003
          14 -0.30201842711066468       -3.5884871769757171E-003
          15 -0.30916713702044796       -3.8448076896168393E-003
          16 -0.31559531111511674       -4.1011282022579620E-003
          17 -0.32140011674949304       -4.3574487148990843E-003
          18 -0.32666312339502335       -4.6137692275402074E-003
          19 -0.33145307688270670       -4.8700897401813296E-003
          20 -0.33582816009410249       -5.1264102528224519E-003
          21 -0.33983783075877755       -5.3827307654635741E-003
          22 -0.34352431503072633       -5.6390512781046972E-003
          23 -0.34692382273205269       -5.8953717907458203E-003
          24 -0.35006753828494114       -6.1516923033869426E-003
          25 -0.35298243105736782       -6.4080128160280648E-003
          26 -0.35569192024808693       -6.6643333286691888E-003
          27 -0.35821642241356505       -6.9206538413103110E-003
          28 -0.36057380408309475       -7.1769743539514342E-003
          29 -0.36277975738999740       -7.4332948665925564E-003
          30 -0.36484811305444004       -7.6896153792336787E-003
          31 -0.36679110220345951       -7.9459358918748009E-003
          32 -0.36861957625397457       -8.2022564045159240E-003
          33 -0.37034319229137252       -8.4585769171570471E-003
          34 -0.37197056995106736       -8.7148974297981685E-003
          35 -0.37350942467518744       -8.9712179424392916E-003
          36 -0.37496668130989513       -9.2275384550804147E-003
          37 -0.37634857128254656       -9.4838589677215361E-003
          38 -0.37766071601426804       -9.7401794803626592E-003
          39 -0.37890819875293513       -9.9964999930037806E-003
          40 -0.38009562663083202       -1.0252820505644904E-002
          41 -0.38122718444215681       -1.0509141018286027E-002
          42 -0.38230668138374763       -1.0765461530927148E-002
          43 -0.38333759179652777       -1.1021782043568271E-002
          44 -0.38432309077629717       -1.1278102556209394E-002
          45 -0.38526608538349022       -1.1534423068850518E-002
          46 -0.38616924206671410       -1.1790743581491641E-002
          47 -0.38703501081975450       -1.2047064094132762E-002
          48 -0.38786564651264865       -1.2303384606773885E-002
          49 -0.38866322777149126       -1.2559705119415007E-002
          50 -0.38942967372646281       -1.2816025632056130E-002
          51 -0.39016675890129748       -1.3072346144697254E-002
          52 -0.39087612647845338       -1.3328666657338378E-002
          53 -0.39155930014138762       -1.3584987169979499E-002
          54 -0.39221769466752404       -1.3841307682620622E-002
          55 -0.39285262542189531       -1.4097628195261743E-002
          56 -0.39346531688136832       -1.4353948707902868E-002
          57 -0.39405691030223106       -1.4610269220543990E-002
          58 -0.39462847062926648       -1.4866589733185113E-002
          59 -0.39518099273189478       -1.5122910245826234E-002
          60 -0.39571540704216202       -1.5379230758467357E-002
          61 -0.39623258466007216       -1.5635551271108480E-002
          62 -0.39673334198373572       -1.5891871783749602E-002
          63 -0.39721844491485986       -1.6148192296390723E-002
          64 -0.39768861268410621       -1.6404512809031848E-002
          65 -0.39814452133559664       -1.6660833321672969E-002
          66 -0.39858680690531451       -1.6917153834314094E-002
          67 -0.39901606832416703       -1.7173474346955216E-002
          68 -0.39943287007301431       -1.7429794859596337E-002
          69 -0.39983774461393157       -1.7686115372237458E-002
          70 -0.40023119461930695       -1.7942435884878583E-002
          71 -0.40061369501803390       -1.8198756397519705E-002
          72 -0.40098569487600427       -1.8455076910160829E-002
          73 -0.40134761912628059       -1.8711397422801947E-002
          74 -0.40169987016273773       -1.8967717935443072E-002
          75 -0.40204282930951962       -1.9224038448084194E-002
          76 -0.40237685817742930       -1.9480358960725318E-002
          77 -0.40270229991722656       -1.9736679473366440E-002
          78 -0.40301948037883428       -1.9992999986007561E-002
          79 -0.40332870918456737       -2.0249320498648683E-002
          80 -0.40363028072370194       -2.0505641011289807E-002
          81 -0.40392447507501245       -2.0761961523930929E-002
          82 -0.40421155886327381       -2.1018282036572054E-002
          83 -0.40449178605515534       -2.1274602549213175E-002
          84 -0.40476539869944500       -2.1530923061854296E-002
          85 -0.40503262761607051       -2.1787243574495418E-002
          86 -0.40529369303800417       -2.2043564087136543E-002
          87 -0.40554880520974312       -2.2299884599777664E-002
          88 -0.40579816494576176       -2.2556205112418789E-002
          89 -0.40604196415199528       -2.2812525625059910E-002
          90 -0.40628038631319613       -2.3068846137701035E-002
          91 -0.40651360694871164       -2.3325166650342156E-002
          92 -0.40674179403905414       -2.3581487162983281E-002
          93 -0.40696510842541100       -2.3837807675624403E-002
          94 -0.40718370418407590       -2.4094128188265524E-002
          95 -0.40739772897761012       -2.4350448700906645E-002
          96 -0.40760732438440694       -2.4606769213547770E-002
          97 -0.40781262620817915       -2.4863089726188895E-002
          98 -0.40801376476879292       -2.5119410238830013E-002
          99 -0.40821086517573157       -2.5375730751471138E-002
         100 -0.40840404758539112       -2.5632051264112259E-002
         101 -0.40859342744330840       -2.5888371776753391E-002
         102 -0.40877911571234116       -2.6144692289394509E-002
         103 -0.40896121908773703       -2.6401012802035630E-002
         104 -0.40913984019995864       -2.6657333314676755E-002
         105 -0.40931507780607779       -2.6913653827317880E-002
         106 -0.40948702697046874       -2.7169974339958998E-002
